Rank,Champion,Role,Win Percent,Play Percent,Ban Rate,Playerbase Avg. Games,Kills,Deaths,Assists,Largest Killing Spree,Damage Dealt,Damage Taken,Total Healing,Minions Killed,Enemy Jungle CS,Team Jungle CS,Gold Earned,Role Position,Position Change
117,Olaf,Jungle,46.79%,0.71%,0.04%,4.52,6.26,5.88,7.46,7,14799,34077,9359,51.1,7.67,68.46,11341,39,1
,,,,,,,,,,,,,,,,,,,
118,Olaf,Top,48.78%,1.20%,0.04%,5.39,6.05,6.19,5.66,11,17903,27886,3957,165.6,2.25,2.94,11316,46,4
,,,,,,,,,,,,,,,,,,,
119,Orianna,Middle,51.31%,7.25%,0.23%,6.83,5.63,5.52,8.87,10,18706,16327,1701,172.5,1.84,9.1,11507,13,0
,,,,,,,,,,,,,,,,,,,
120,Ornn,Top,51.25%,8.03%,2.86%,1.55,4.5,5.12,8.45,8,17726,25556,2096,159.9,0.8,1.49,10730,3,2
,,,,,,,,,,,,,,,,,,,
121,Pantheon,Jungle,50.62%,1.05%,0.96%,9.03,7.93,6.24,7.02,10,16111,23526,6628,49.8,5.27,55.02,11254,26,10
,,,,,,,,,,,,,,,,,,,
122,Pantheon,Top,52.81%,3.70%,0.96%,6.28,7.91,6.33,5.79,10,19563,20554,2479,148.5,1.34,2.59,11460,13,10
,,,,,,,,,,,,,,,,,,,
123,Poppy,Jungle,49.05%,0.36%,0.02%,7.52,5.43,5.23,8.37,10,13446,27377,6340,41.9,6.22,61.32,10715,41,1
,,,,,,,,,,,,,,,,,,,
124,Poppy,Support,48.81%,0.34%,0.02%,7.45,3.3,5.69,10.87,7,10530,22351,3858,48.2,0.57,1.55,9503,32,1
,,,,,,,,,,,,,,,,,,,
125,Poppy,Top,49.01%,1.54%,0.02%,4.46,4.39,4.9,7.06,8,15779,26573,2605,151.8,1.12,1.95,10635,48,2
,,,,,,,,,,,,,,,,,,,
126,Quinn,ADC,49.34%,0.35%,0.05%,9.56,8.74,7.37,7.45,10,20807,20765,3306,161.9,2.25,5.42,12521,15,2
,,,,,,,,,,,,,,,,,,,
127,Quinn,Jungle,48.98%,0.47%,0.05%,8.96,8.34,7.74,7.41,10,18083,24242,6734,50.8,7.28,61.55,11742,40,1
,,,,,,,,,,,,,,,,,,,
128,Quinn,Top,50.94%,1.48%,0.05%,5.93,8.04,7.51,6.16,10,20843,20561,2106,157.6,2.2,3.73,11923,37,0
,,,,,,,,,,,,,,,,,,,
129,Rakan,Support,49.79%,7.36%,0.35%,5.34,1.83,5.68,14.65,5,6963,17684,5335,15.7,0.09,0.13,9547,22,9
,,,,,,,,,,,,,,,,,,,
130,Rammus,Jungle,54.57%,4.82%,1.08%,3.7,5.01,5.44,10.75,8,13352,30382,7244,37.7,5.36,64.49,10661,8,1
,,,,,,,,,,,,,,,,,,,
131,Rek'Sai,Jungle,48.01%,2.21%,0.08%,5.13,6.82,5.84,7.44,9,13215,29936,11410,34.6,8.7,69.75,11156,36,4
,,,,,,,,,,,,,,,,,,,
132,Renekton,Top,47.66%,3.63%,0.16%,5.71,5.21,5.87,5.57,8,15689,31199,6495,177.8,2.36,3.37,11397,41,12
,,,,,,,,,,,,,,,,,,,
133,Rengar,Jungle,47.91%,7.90%,1.17%,5.83,8.23,6.74,5.54,11,16954,28635,10568,44.5,9.96,75.47,11860,13,3
,,,,,,,,,,,,,,,,,,,
134,Rengar,Top,49.82%,1.78%,1.17%,12.85,8.38,7.01,4.79,11,19594,25308,5693,153,4.55,7.27,11889,32,0
,,,,,,,,,,,,,,,,,,,
135,Riven,Top,48.40%,8.10%,0.51%,11.71,6.76,6.27,4.68,11,16410,21899,3125,170.4,2.77,4.63,11609,23,1
,,,,,,,,,,,,,,,,,,,
136,Rumble,Top,48.94%,2.54%,0.07%,5.95,5.5,6.09,7.08,7,20814,21779,1633,167.1,1.18,2.84,11138,33,8
,,,,,,,,,,,,,,,,,,,
137,Ryze,Middle,44.64%,3.58%,0.12%,4.96,5.45,5.69,6.38,9,18561,21150,3980,174,2.34,9.43,11260,43,1
,,,,,,,,,,,,,,,,,,,
138,Ryze,Top,44.70%,1.11%,0.12%,6.69,4.82,6.08,5.6,8,18630,21741,3768,181.8,2.19,5.55,11340,52,0
,,,,,,,,,,,,,,,,,,,
139,Sejuani,Jungle,51.58%,3.35%,0.54%,4.8,4.41,4.76,11.15,6,11640,31536,6780,38,5.77,63.87,10502,18,1
,,,,,,,,,,,,,,,,,,,
140,Shaco,Jungle,52.23%,4.05%,0.25%,8.9,7.88,5.88,6.78,11,15586,25050,7411,47,11.38,66.16,11878,12,1
,,,,,,,,,,,,,,,,,,,
141,Shen,Support,54.10%,0.83%,0.13%,10.76,3.04,5.03,13.75,5,8660,21619,4204,49.3,0.32,0.85,9623,18,0
,,,,,,,,,,,,,,,,,,,
142,Shen,Top,52.07%,5.56%,0.13%,5.06,4.11,4.43,9.69,8,13487,25322,2415,151.1,0.94,1.79,10565,15,6
,,,,,,,,,,,,,,,,,,,
